연도,서울특별시,경기도,대구광역시
2023,912.3833333333334,553.8166666666667,521.3833333333333
2024,965.0373198046611,592.6961469154196,563.2483994204192
2025,1020.729987705201,634.3050755094368,608.4750684710497
2026,1079.6367004869353,678.8350673628531,657.3332642078101
2027,1141.9429418928369,726.4911892931457,710.1145841847301
2028,1207.8449000026812,777.4929043824036,767.1340401121614
2029,1277.550084984363,832.0750826354016,828.7319379230149
2030,1351.2779824958732,890.4890825887,895.2759088010492
2031,1429.2607447953533,953.0039088517306,967.1631032928789
2032,1511.7439217353685,1019.9074509105078,1044.822561598695
2033,1598.9872339431386,1091.507808898827,1128.7177741881674
2034,1691.2653906212902,1168.1347124423128,1219.3494480239046
2035,1788.8689545442005,1250.1410391092907,1317.2584949019645
2036,1892.1052569736053,1337.904439461161,1423.029259744555
2037,2001.2993653743317,1431.8290761858575,1537.2930081121592
2038,2116.7951069772726,1532.3474853233424,1660.731693749401
2039,2238.9561514125653,1639.9225681543423,1794.0820286502803
2040,2368.1671558219396,1755.0497229252487,1938.1398799339113
2041,2504.834976055932,1878.2591262260728,2093.7650197723856
2042,2649.3899477697482,2010.1181745275198,2261.8862567194806
2043,2802.2872414516505,2151.2340971208,2443.5069790652256
2044,2964.008295650546,2302.2567524931287,2639.7111433004097
2045,3135.0623329156797,2463.8816210166133,2851.6697434316416
2046,3315.9879632217767,2636.8530077322785,3080.6477997573948
2047,3507.3548799284586,2821.967469978494,3328.0119088157567
2048,3709.765653614115,3020.077485648515,3595.2383995637933
2049,3923.8576294326053,3232.0953789699656,3883.9221444665845
2050,4150.3049339671325,3458.9975218850363,4195.78607808265
2051,4389.82059790041,3701.8288303793292,4532.691479954987
2052,4643.158801184925,3961.7075764655738,4896.649083178501
2053,4911.117247782829,4239.83053798207,5289.831074942468
2054,5194.539677452954,4537.4785099214005,5714.584060670155
